time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,37,16,0,0
2026-05-10 00:00:00+00:00,44,18,0,0
2026-05-11 00:00:00+00:00,46,13,0,0
2026-05-12 00:00:00+00:00,19,7,0,0
2026-05-13 00:00:00+00:00,46,18,0,0
2026-05-14 00:00:00+00:00,39,19,0,0
2026-05-15 00:00:00+00:00,53,22,0,0
2026-05-16 00:00:00+00:00,34,16,0,0
2026-05-17 00:00:00+00:00,44,17,0,0
2026-05-18 00:00:00+00:00,12,5,0,0
2026-05-19 00:00:00+00:00,50,20,0,0
2026-05-20 00:00:00+00:00,28,14,0,0
2026-05-21 00:00:00+00:00,33,13,0,0
2026-05-22 00:00:00+00:00,28,13,0,0
