time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,32,12,4,1
2026-06-10 00:00:00+00:00,61,24,40,1
2026-06-11 00:00:00+00:00,39,15,1,1
2026-06-12 00:00:00+00:00,45,18,0,0
2026-06-13 00:00:00+00:00,39,18,0,0
2026-06-14 00:00:00+00:00,42,14,0,0
2026-06-15 00:00:00+00:00,50,18,0,0
2026-06-16 00:00:00+00:00,36,14,0,0
2026-06-17 00:00:00+00:00,41,16,2,1
2026-06-18 00:00:00+00:00,33,12,0,0
2026-06-19 00:00:00+00:00,113,28,0,0
2026-06-20 00:00:00+00:00,86,24,0,0
2026-06-21 00:00:00+00:00,122,35,0,0
2026-06-22 00:00:00+00:00,85,29,0,0
