time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,25,13,0,0
2026-07-01 00:00:00+00:00,28,15,0,0
2026-07-02 00:00:00+00:00,50,23,0,0
2026-07-03 00:00:00+00:00,24,11,0,0
2026-07-04 00:00:00+00:00,31,14,0,0
2026-07-05 00:00:00+00:00,23,11,0,0
2026-07-06 00:00:00+00:00,20,10,0,0
2026-07-07 00:00:00+00:00,68,25,0,0
2026-07-08 00:00:00+00:00,11,7,0,0
2026-07-09 00:00:00+00:00,26,10,0,0
2026-07-10 00:00:00+00:00,26,12,1,1
2026-07-11 00:00:00+00:00,35,13,0,0
2026-07-12 00:00:00+00:00,36,13,0,0
2026-07-13 00:00:00+00:00,35,17,0,0
