time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,23,11,0,0
2026-01-20 00:00:00+00:00,27,12,7,2
2026-01-21 00:00:00+00:00,20,10,0,0
2026-01-22 00:00:00+00:00,19,10,2,2
2026-01-23 00:00:00+00:00,20,11,0,0
2026-01-24 00:00:00+00:00,35,18,0,0
2026-01-25 00:00:00+00:00,16,9,0,0
2026-01-26 00:00:00+00:00,21,14,0,0
2026-01-27 00:00:00+00:00,28,17,0,0
2026-01-28 00:00:00+00:00,15,11,0,0
2026-01-29 00:00:00+00:00,16,11,3,1
2026-01-30 00:00:00+00:00,24,13,2,2
2026-01-31 00:00:00+00:00,18,11,0,0
2026-02-01 00:00:00+00:00,24,16,0,0
