time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,34,15,0,0
2026-05-25 00:00:00+00:00,49,18,0,0
2026-05-26 00:00:00+00:00,50,19,0,0
2026-05-27 00:00:00+00:00,32,15,0,0
2026-05-28 00:00:00+00:00,22,10,0,0
2026-05-29 00:00:00+00:00,31,14,0,0
2026-05-30 00:00:00+00:00,36,19,0,0
2026-05-31 00:00:00+00:00,18,10,0,0
2026-06-01 00:00:00+00:00,21,9,0,0
2026-06-02 00:00:00+00:00,26,14,0,0
2026-06-03 00:00:00+00:00,13,9,0,0
2026-06-04 00:00:00+00:00,25,12,0,0
2026-06-05 00:00:00+00:00,12,7,0,0
2026-06-06 00:00:00+00:00,39,18,0,0
